"","x_plot","mean","top25","bot25"
"1",-1.72162459997701,0.895167172711162,1.2713567839196,0.492462311557789
"2",-1.63320279272743,0.887261792214672,1.2713567839196,0.492462311557789
"3",-1.54478098547786,0.879235623060467,1.24623115577889,0.492462311557789
"4",-1.45635917822828,0.871125419360876,1.24623115577889,0.467336683417086
"5",-1.36793737097871,0.86295370696997,1.24623115577889,0.467336683417086
"6",-1.27951556372914,0.854739061300478,1.22110552763819,0.467336683417086
"7",-1.19109375647956,0.846492779577311,1.22110552763819,0.442211055276382
"8",-1.10267194922999,0.838221956973241,1.22110552763819,0.442211055276382
"9",-1.01425014198041,0.829917955842208,1.19597989949749,0.442211055276382
"10",-0.925828334730838,0.821557434118528,1.19597989949749,0.417085427135679
"11",-0.837406527481264,0.813073841818206,1.19597989949749,0.417085427135679
"12",-0.748984720231689,0.8043217699977,1.17085427135678,0.391959798994975
"13",-0.660562912982115,0.794994295988862,1.17085427135678,0.391959798994975
"14",-0.57214110573254,0.784486312153052,1.17085427135678,0.366834170854272
"15",-0.483719298482966,0.771643591715797,1.14572864321608,0.341708542713568
"16",-0.395297491233391,0.754365306852228,1.14572864321608,0.266331658291457
"17",-0.306875683983817,0.729051288299762,1.14572864321608,0.0904522613065328
"18",-0.218453876734243,0.69006312615758,1.12060301507538,-0.185929648241206
"19",-0.130032069484668,0.629744896410856,1.12060301507538,-0.412060301507537
"20",-0.0416102622350936,0.540046146837708,1.09547738693467,-0.613065326633166
"21",0.0468115450144808,0.416472037985958,1.07035175879397,-0.78894472361809
"22",0.135233352264055,0.262696857592739,1.04522613065327,-0.939698492462311
"23",0.22365515951363,0.0912930982521985,0.994974874371859,-1.09045226130653
"24",0.312076966763204,-0.0817586730719156,0.944723618090452,-1.19095477386935
"25",0.400498774012779,-0.244277973921967,0.894472361809045,-1.31658291457286
"26",0.488920581262353,-0.390953647200607,0.844221105527638,-1.41708542713568
"27",0.577342388511927,-0.521912664319244,0.743718592964824,-1.49246231155779
"28",0.665764195761502,-0.639881341250795,0.64321608040201,-1.5929648241206
"29",0.754186003011077,-0.74812624286116,0.492462311557789,-1.69346733668342
"30",0.842607810260651,-0.849499355811107,0.21608040201005,-1.76884422110553
"31",0.931029617510225,-0.946158243242473,0.0402010050251258,-1.86934673366834
"32",1.0194514247598,-1.03962714734203,-0.110552763819095,-1.94472361809045
"33",1.10787323200937,-1.13099224846421,-0.211055276381909,-2.04522613065327
"34",1.19629503925895,-1.22091805556514,-0.311557788944723,-2.12060301507538
"35",1.28471684650852,-1.30984212805241,-0.412060301507537,-2.22110552763819
"36",1.3731386537581,-1.39802988717401,-0.512562814070352,-2.2964824120603
"37",1.46156046100767,-1.48559895593058,-0.613065326633166,-2.39698492462312
"38",1.54998226825725,-1.57254444931803,-0.688442211055276,-2.47236180904523
"39",1.63840407550682,-1.6587093113515,-0.78894472361809,-2.54773869346734
"40",1.72682588275639,-1.74389938442843,-0.864321608040201,-2.62311557788945
